year,make,model,price,mileage,dealer,city,state,website
2019,Kenworth,T680,99950.0,455921,Arrow Truck Sales,Fresno, CA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2019/ee-listing-42165518
2019,Freightliner,Cascadia126,59900.0,686745,Doggett Freightliner,El Paso, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia126-2019/ee-listing-42164728
2020,Mack,An64T70,109900.0,377253,Bruckner Truck Sales,Shreveport, LA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/mack/an64t70-2020/ee-listing-42152416
2004,Volvo,Vnl64T630,24900.0,727000,DRS Truck Sales Inc,North Bergen, NJ,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl64t630-2004/ee-listing-42171917
2019,Freightliner,Cascadi,79950.0,615030,Arrow Truck Sales,Tampa, FL,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2019/ee-listing-42176495
2005,Mack,Cx613,24900.0,393000,Bruckner Truck Sales,Amarillo, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/mack/cx613-2005/ee-listing-42152415
2018,Peterbilt,567,92950.0,540585,Arrow Truck Sales,Converse, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/567-2018/ee-listing-42084323
2018,Peterbilt,579,69950.0,513806,Arrow Truck Sales,Fontana, CA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/579-2018/ee-listing-42109922
2019,Freightliner,Cascadevo1,99950.0,340483,Arrow Truck Sales,French Camp, CA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadevo1-2019/ee-listing-42165539
2018,Freightliner,Cascadi,58500.0,552534,Schneider,North Baltimore, OH,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2018/ee-listing-42184198
2017,Kenworth,T680,84900.0,431849,Freightliner of Grand Rapids,Grand Rapids, MI,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2017/ee-listing-42177828
2015,Mack,PinnacleCxu612,27900.0,578811,Bergey's Truck Centers,Carlisle, PA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/mack/pinnaclecxu612-2015/ee-listing-42138082
2018,Kenworth,T880,89500.0,418240,Thompson Truck Center,La Vergne, TN,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t880-2018/ee-listing-42142702
2018,Kenworth,T880,89500.0,378530,Thompson Truck Center,La Vergne, TN,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t880-2018/ee-listing-42142704
2019,Kenworth,T680,95500.0,407110,Kenworth of Louisiana,Gray, LA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2019/ee-listing-42158815
2020,Kenworth,T680,129900.0,153000,DRS Truck Sales Inc,North Bergen, NJ,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2020/ee-listing-42171911
2016,International,Pros,29950.0,522307,Arrow Truck Sales,Converse, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/prostar-2016/ee-listing-42157041
2015,International,Pros,39900.0,502400,Doggett Freightliner,North Little Rock, AR,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/prostar-2015/ee-listing-42164734
2018,Freightliner,Cascadi,37500.0,787685,Schneider,Atlanta, GA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2018/ee-listing-42183908
2017,Freightliner,Cascadi,56500.0,485803,Schneider,Gary, IN,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2017/ee-listing-42136421
2009,Peterbilt,388,89000.0,877000,Bruckner Truck Sales,Pottsville, AR,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/388-2009/ee-listing-41992219
2018,Freightliner,Cascadi,46500.0,669777,Schneider,Indianapolis, IN,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2018/ee-listing-42183891
2012,Peterbilt,367,145000.0,37672,Steve England Truck Sales Inc,Searcy, AR,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/367-2012/ee-listing-42110216
2021,Freightliner,Cascadi,149500.0,200084,Trux and Equipment,Seville, OH,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2021/ee-listing-42171977
2020,International,L,72900.0,385568,Diamond Truck Sales Inc,Bakersfield, CA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/lt-2020/ee-listing-42170494
2019,Mack,Anthem,83950.0,481235,Arrow Truck Sales,Elizabeth, NJ,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/mack/anthem-2019/ee-listing-42036660
2015,Freightliner,Cascadia125,59900.0,647962,SelecTrucks of Atlanta,McDonough, GA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2015/ee-listing-42104829
2019,Kenworth,W900L,139900.0,527137,Bruckner Truck Sales,Oklahoma City, OK,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/w900l-2019/ee-listing-42171835
2020,Kenworth,T680,99900.0,368333,Doggett Freightliner,North Little Rock, AR,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2020/ee-listing-42135121
2019,Peterbilt,579,99950.0,448157,Arrow Truck Sales,French Camp, CA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/579-2019/ee-listing-42100247
2020,Volvo,Vnl64T860,89900.0,578876,Bruckner Truck Sales,San Antonio, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl64t860-2020/ee-listing-42171839
2016,Volvo,Vnl670,39500.0,696274,Schneider,Wilmer, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl670-2016/ee-listing-42144940
2020,Mack,An64T,99995.0,482800,Tri-State Truck Center Inc,Tupelo, MS,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/mack/an64t-2020/ee-listing-42140390
2019,International,L,64900.0,387217,Diamond Truck Sales Inc,Fort Worth, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/lt-2019/ee-listing-42170503
2017,International,Prostar+1226X4,54375.0,486116,International Used Truck Center,Philadelphia, PA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/prostar1226x4-2017/ee-listing-42140100
2020,International,L,68900.0,424245,Diamond Truck Sales Inc,Turlock, CA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/lt-2020/ee-listing-42170500
2017,Kenworth,T680,64500.0,339674,Steve England Truck Sales Inc,Searcy, AR,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2017/ee-listing-42155680
2000,Kenworth,T800,107900.0,220606,WE Sales,Fargo, ND,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t800-2000/ee-listing-42171998
2018,Freightliner,Cascadi,73500.0,333461,Schneider,Wilmer, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2018/ee-listing-42183840
2019,Freightliner,Cascadia126,110000.0,398499,Doggett Freightliner,El Paso, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia126-2019/ee-listing-42125954
2018,Kenworth,T680,72900.0,512919,Doggett Freightliner,Buda, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2018/ee-listing-42135098
2018,Freightliner,Cascadevo1,87950.0,517147,Arrow Truck Sales,French Camp, CA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadevo1-2018/ee-listing-42111162
2019,Peterbilt,579,143500.0,453275,The Peterbilt Store,Knoxville, TN,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/579-2019/ee-listing-42170555
2019,Volvo,Vnl760,79950.0,680580,Arrow Truck Sales,Fontana, CA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl760-2019/ee-listing-42044033
2018,Peterbilt,579,72950.0,380596,Arrow Truck Sales,Fontana, CA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/579-2018/ee-listing-42078066
2020,Kenworth,T680,84950.0,440469,Dobbs Peterbilt,North Little Rock, AR,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2020/ee-listing-42153565
2016,Freightliner,Cascadi,44500.0,525632,Schneider,Carlisle, PA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2016/ee-listing-42158275
2014,Mack,PinnacleCxu613,35000.0,627290,"Iron Dogs Equipment Sales, LLC",Union City, TN,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/mack/pinnaclecxu613-2014/ee-listing-42053748
2018,Kenworth,T880,89500.0,443164,Thompson Truck Center,La Vergne, TN,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t880-2018/ee-listing-42142701
2005,Mack,VisionCxn613,20000.0,32245,"Iron Dogs Equipment Sales, LLC",Union City, TN,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/mack/visioncxn613-2005/ee-listing-42099810
2017,Volvo,Vnl64T670,69900.0,418047,Bergey's Truck Centers,New Castle, DE,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl64t670-2017/ee-listing-42130751
2020,Volvo,Vnl64T760,98950.0,420000,Bruckner Truck Sales,Oklahoma City, OK,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl760-2020/ee-listing-42171837
2020,Freightliner,Cascadia126,129900.0,372565,Doggett Freightliner,North Little Rock, AR,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia126-2020/ee-listing-42164754
2019,Volvo,Vnl670,78450.0,397957,Arrow Truck Sales,Cincinnati, OH,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl670-2019/ee-listing-42141221
2017,Kenworth,T680,59900.0,616953,Doggett Freightliner,El Paso, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2017/ee-listing-42135112
2019,Volvo,Vnl64T760,84900.0,452781,Diamond Truck Sales Inc,Turlock, CA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl64t760-2019/ee-listing-42170542
2020,Peterbilt,579,89900.0,384374,Doggett Freightliner,Pharr, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/579-2020/ee-listing-42164781
2018,Kenworth,T680,68900.0,432787,Diamond Truck Sales Inc,Fort Worth, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2018/ee-listing-42153542
2018,International,L,49900.0,504830,Diamond Truck Sales Inc,Turlock, CA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/lt-2018/ee-listing-42170518
2015,Kenworth,W900,299000.0,33979,Bruckner Truck Sales,Lubbock, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/w900-2015/ee-listing-42103613
2016,International,Pros,44900.0,504575,Doggett Freightliner,North Little Rock, AR,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/prostar-2016/ee-listing-42135129
2018,Kenworth,T-680,69900.0,552961,WE Sales,Fargo, ND,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2018/ee-listing-42171999
2020,Volvo,Vnl64T760,110950.0,464302,Bruckner Truck Sales,Fort Worth, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl760-2020/ee-listing-42164826
2015,Freightliner,Cascadi,52950.0,605932,Arrow Truck Sales,Cincinnati, OH,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2015/ee-listing-42164602
2022,Freightliner,Cascadia126,205000.0,115132,Doggett Freightliner,El Paso, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia126-2022/ee-listing-42115648
2018,Peterbilt,389,139900.0,486220,Bruckner Truck Sales,Oklahoma City, OK,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/389-2018/ee-listing-42158707
2018,Volvo,Vnl780,84950.0,549946,Arrow Truck Sales,Maple Shade, NJ,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl780-2018/ee-listing-42073907
2018,Freightliner,Cascadi,66000.0,470441,Schneider,Edwardsville, IL,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2018/ee-listing-42184204
2019,International,L,64900.0,397323,Diamond Truck Sales Inc,Fort Worth, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/lt-2019/ee-listing-42170505
2019,Kenworth,T680,79950.0,362660,Western Truck Center of West Sacramento,West Sacramento, CA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2019/ee-listing-42145073
2000,Mack,Rd688,24500.0,478907,Brookside Equipment Sales Inc,Phillipston, MA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/mack/rd688s-2000/ee-listing-42170443
2016,Freightliner,Cascadi,71950.0,410460,Arrow Truck Sales,Fontana, CA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2016/ee-listing-42149771
2020,Kenworth,T680,109950.0,470722,Arrow Truck Sales,Elizabeth, NJ,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2020/ee-listing-42076515
2018,Freightliner,CascadiaEvolution,79950.0,577737,Arrow Truck Sales,French Camp, CA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadiaevolution-2018/ee-listing-42165524
2017,Kenworth,T680,62950.0,538083,Arrow Truck Sales,Maple Shade, NJ,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2017/ee-listing-42129821
2015,Volvo,Vnl630,62950.0,572036,Arrow Truck Sales,Bolingbrook, IL,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl630-2015/ee-listing-42096745
2018,Kenworth,T680,59900.0,718368,Doggett Freightliner,Pharr, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2018/ee-listing-42159671
2016,Freightliner,Cascadia125,69900.0,727800,SelecTrucks of Alabama/Birmingham Freightliner,Birmingham, AL,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2016/ee-listing-42130777
2014,Freightliner,Cascadi,39950.0,501000,Arrow Truck Sales,Phoenix, AZ,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2014/ee-listing-42165541
2019,Freightliner,Cascadevo1,82950.0,434486,Arrow Truck Sales,Fontana, CA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadevo1-2019/ee-listing-42143714
2020,Freightliner,Cascadi,94950.0,563633,Arrow Truck Sales,Elizabeth, NJ,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2020/ee-listing-42097775
2020,International,L,71900.0,312616,Diamond Truck Sales Inc,Bakersfield, CA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/lt-2020/ee-listing-42170497
2016,Freightliner,Cascadi,69950.0,278461,Arrow Truck Sales,Houston, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2016/ee-listing-42178822
2019,Volvo,760,97500.0,398192,Kordell Truck and Trailer Sales Inc,Dubuque, IA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/760-2019/ee-listing-42158823
2022,Peterbilt,389,199950.0,201058,Dobbs Peterbilt,North Little Rock, AR,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/389-2022/ee-listing-42153567
2019,Kenworth,W900L,154900.0,516300,Bruckner Truck Sales,Oklahoma City, OK,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/w900l-2019/ee-listing-42158706
2017,Peterbilt,579,74900.0,508575,The Peterbilt Store,Davie, FL,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/579-2017/ee-listing-42181925
2017,Freightliner,Cascadi,46000.0,640566,Schneider,Salt Lake City, UT,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2017/ee-listing-42178870
2019,Peterbilt,579,84950.0,515754,Arrow Truck Sales,Converse, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/579-2019/ee-listing-42118785
2018,International,L,55500.0,579077,Schneider,Portland, OR,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/lt-2018/ee-listing-42171679
2017,Peterbilt,389,174900.0,334578,The Peterbilt Store,Davie, FL,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/389-2017/ee-listing-42145855
2018,Freightliner,Cascadia126,69900.0,572000,Southport Truck Group,Tampa, FL,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia126-2018/ee-listing-42158771
2018,Kenworth,MotorTruckCo.T680,59900.0,490144,International Used Truck Center,Commerce City, CO,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworthmotortruckco/t680-2018/ee-listing-42184328
2018,Volvo,Vnl780,87950.0,541706,Arrow Truck Sales,Strafford, MO,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl780-2018/ee-listing-42080375
2019,Volvo,Vnl64T760,79000.0,516890,Jordan Truck Sales of Texas LLC,Rhome, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl64t760-2019/ee-listing-42184402
2016,Mack,PinnacleCxu612,29900.0,574228,Bergey's Truck Centers,Souderton, PA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/mack/pinnaclecxu612-2016/ee-listing-42138077
2017,Kenworth,T680,67950.0,621109,Arrow Truck Sales,Cincinnati, OH,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2017/ee-listing-42133490
